id,tournament_name,start_date,end_date,location
1,THE NORTHERN TRUST,August 23 2018,August 26 2018,"Ridgewood Country Club - Paramus, NJ"
2,Safeway Open,October 5 2017,October 8 2017,"Silverado Resort - Napa, CA"
3,CIMB Classic,October 12 2017,October 15 2017,"TPC Kuala Lumpur - Kuala Lampur, Malaysia"
4,THE CJ CUP @ NINE BRIDGES,October 19 2017,October 22 2017,"Nine Bridges - Jeju Island, Korea"
5,Sanderson Farms Championship,October 26 2017,October 29 2017,"Country Club of Jackson - Jackson, MS"
6,World Golf Championships-HSBC Champions,October 26 2017,October 29 2017,"Sheshan International GC - Shanghai, China"
7,Shriners Hospitals for Children Open,November 2 2017,November 5 2017,"TPC at Summerlin - Las Vegas, NV"
8,OHL Classic at Mayakoba,November 9 2017,November 12 2017,"El Camaleon GC - Playa del Carmen, Mexico"
9,The RSM Classic,November 16 2017,November 19 2017,"Seaside Course - Sea Island, GA"
10,Hero World Challenge,November 30 2017,November  3 2017,Albany - New Providence
11,Sentry Tournament of Champions,January 4 2018,January 7 2018,"Plantation Course - Kapalua, Maui, HI"
12,Sony Open in Hawaii,January 11 2018,January 14 2018,"Waialae CC - Honolulu, HI"
13,CareerBuilder Challenge,January 18 2018,January 21 2018,"La Quinta CC - La Quinta, CA"
14,Farmers Insurance Open,January 25 2018,January 30 2018,"Torrey Pines North - La Jolla, CA"
15,Waste Management Phoenix Open,February 1 2018,February 4 2018,"TPC Scottsdale - Scottsdale, AZ"
16,AT&T Pebble Beach Pro-Am,February 8 2018,February 11 2018,"Spyglass Hill GC - Pebble Beach, CA"
17,Genesis Open,February 15 2018,February 18 2018,"Riviera Country Club - Pacific Palisades, CA"
18,The Honda Classic,February 22 2018,February 25 2018,"PGA National Champion Course - Palm Beach Gardens, FL"
19,World Golf Championships-Mexico Championship,March 1 2018,March 4 2018,"Club De Golf Chapultepec - Mexico City, Mexico"
20,Valspar Championship,March 8 2018,March 11 2018,The Cliffs at Walnut Cove
21,Arnold Palmer Invitational presented by Mastercard,March 15 2018,March 18 2018,"Bay Hill Club & Lodge - Orlando, FL"
22,World Golf Championships-Dell Technologies Match Play,March 21 2018,March 25 2018,"Austin Country Club - Austin, TX"
23,Corales Puntacana Resort & Club Championship,March 22 2018,March 25 2018,Priddis Greens Golf & Country Club - Punta Cana
24,Houston Open,March 29 2018,March  1 2018,"Golf Club of Houston - Houston, TX"
25,2018 Masters Tournament,April 5 2018,April 8 2018,"Augusta National Golf Club - Augusta, GA"
26,RBC Heritage,April 12 2018,April 15 2018,"Harbour Town Golf Links - Hilton Head, SC"
27,Valero Texas Open,April 19 2018,April 22 2018,"TPC San Antonio - San Antonio, TX"
28,Zurich Classic of New Orleans,April 26 2018,April 29 2018,"TPC of Louisiana - Avondale, LA"
29,Wells Fargo Championship,May 3 2018,May 6 2018,"Quail Hollow Club - Charlotte, NC"
30,The Players Championship,May 10 2018,May 13 2018,"TPC Sawgrass - Ponte Vedra Beach, FL"
31,AT&T Byron Nelson,May 17 2018,May 20 2018,"Trinity Forest Golf Club - Dallas, TX"
32,Fort Worth Invitational,May 24 2018,May 27 2018,"Colonial CC - Ft. Worth, TX"
33,the Memorial Tournament pres. by Nationwide,May 31 2018,May  3 2018,"Muirfield Village GC - Dublin, OH"
34,FedEx St. Jude Classic,June 7 2018,June 10 2018,"TPC Southwind - Memphis, TN"
35,U.S. Open,June 14 2018,June 17 2018,"Shinnecock Hills GC - Southampton, NY"
36,Travelers Championship,June 21 2018,June 24 2018,TPC River Highlands
37,Quicken Loans National,June 28 2018,June  1 2018,"TPC Potomac at Avenel Farm - Potomac, MD"
38,A Military Tribute at The Greenbrier,July 5 2018,July 8 2018,"The Old White Course - White Sulphur Springs, WV"
39,John Deere Classic,July 12 2018,July 15 2018,"TPC Deere Run - Silvis, IL"
40,The Open,July 19 2018,July 22 2018,"Carnoustie Golf Links - Carnoustie, Scotland"
41,Barbasol Championship,July 19 2018,July 23 2018,Keene Trace GC
42,RBC Canadian Open,July 26 2018,July 29 2018,"Glen Abbey GC - Oakville,Ontario, Canada"
43,Barracuda Championship,August 2 2018,August 5 2018,"Montreux G&CC - Reno, NV"
44,PGA Championship,August 9 2018,August 12 2018,"Bellerive Country Club - St. Louis, MO"
45,Wyndham Championship,August 16 2018,August 19 2018,"Sedgefield Country Club - Greensboro, NC"
