id,team,points,played,win,loss,overtime_loss,pct,goal_for,goal_against,pim,streak
1,Nottingham Panthers,8,6,4,2,0,.667,21,17,115,0-1
2,Fife Flyers,5,3,2,0,1,.833,11,7,44,2-0
3,Cardiff Devils,4,2,2,0,0,1.000,9,4,12,2-0
4,Glasgow Clan,4,3,2,1,0,.667,9,6,27,0-1
5,Guildford Flames,4,3,2,1,0,.667,8,5,53,1-0
6,Sheffield Steelers,4,5,2,3,0,.400,14,19,113,0-2
7,Coventry Blaze,3,2,1,0,1,.750,9,7,28,1-0
8,Milton Keynes Lightning,2,3,1,2,0,.333,7,12,92,0-2
9,Dundee Stars,0,0,0,0,0,.000,0,0,0,0-0
10,Belfast Giants,0,2,0,2,0,.000,5,10,12,0-2
11,Manchester Storm,0,3,0,3,0,.000,4,10,100,0-3
