id,position,team,played,win,loss,draw,points_for,points_against,points_difference,try_bonus,loss_bonus,points
1,1,Bath,0,0,0,0,0,0,0,0,0,0
2,2,Bristol,0,0,0,0,0,0,0,0,0,0
3,3,Exeter,0,0,0,0,0,0,0,0,0,0
4,4,Gloucester,0,0,0,0,0,0,0,0,0,0
5,5,Harlequins,0,0,0,0,0,0,0,0,0,0
6,6,Leicester,0,0,0,0,0,0,0,0,0,0
7,7,Newcastle,0,0,0,0,0,0,0,0,0,0
8,8,Northampton,0,0,0,0,0,0,0,0,0,0
9,9,Sale,0,0,0,0,0,0,0,0,0,0
10,10,Saracens,0,0,0,0,0,0,0,0,0,0
11,11,Wasps,0,0,0,0,0,0,0,0,0,0
12,12,Worcester,0,0,0,0,0,0,0,0,0,0
